#id: 474
#name: E.coli - Whole organism, EmPAI (Arike,J_Proteomics,2012)
#score: 4.35
#weight: 50%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, from<a href="http://www.mcponline.org/content/11/10/933.abstract" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 4.35&nbsp<b>Coverage</b>: 98
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 98
#publication_year: 2012
#filename: Ecoli_emPAI_arike_2012.txt
#
internal_id	string_external_id	abundance
6883990	511145.b3399	0
6883969	511145.b3378	0
6883970	511145.b3379	0
6882462	511145.b1719	283
6883965	511145.b3374	0
6883966	511145.b3375	0
6883967	511145.b3376	0
6883968	511145.b3377	0
6883963	511145.b3370	0
6883964	511145.b3371	0
6882147	511145.b1379	0
6884263	511145.b3688	0
6884264	511145.b3689	0
6884259	511145.b3684	0
6884260	511145.b3685	0
6884261	511145.b3686	0
6884262	511145.b3687	0
6884258	511145.b3680	0
6881579	511145.b0778	51.3
6882678	511145.b1947	0
6883807	511145.b3200	177
6883808	511145.b3201	345
6883071	511145.b2379	0
6883810	511145.b3203	1185
6883811	511145.b3204	431
6883812	511145.b3205	79.1
6883813	511145.b3206	0
6883814	511145.b3207	0
6883065	511145.b2373	0
6883816	511145.b3209	264
6883063	511145.b2371	0
6883062	511145.b2370	0
6883069	511145.b2377	0
6883068	511145.b2376	0
6883067	511145.b2375	0
6883066	511145.b2374	0
6882858	511145.b2153	1018
6882857	511145.b2152	0
6882856	511145.b2151	0
6882855	511145.b2150	8520
6883094	511145.b2409	0
6883093	511145.b2408	0
6882860	511145.b2155	0
6882859	511145.b2154	0
6882097	511145.b1320	0
6881572	511145.b0771	0
6882864	511145.b2159	0
6882863	511145.b2158	0
6883089	511145.b2400	484
6881571	511145.b0770	0
6884475	511145.b3934	0
6883606	511145.b2979	0
6882142	511145.b1374	0
6883603	511145.b2975	0
6884509	511145.b3973	0
6883605	511145.b2977	277
6882143	511145.b1375	0
6883601	511145.b2971	0
6884289	511145.b3717	0
6884510	511145.b3974	0
6883602	511145.b2972	0
6882796	511145.b2081	22.0
6882795	511145.b2080	2492
6882797	511145.b2082	0
6882798	511145.b2085	0
6882799	511145.b2086	59.1
6882801	511145.b2089	0
6882800	511145.b2088	0
6883256	511145.b2571	136
6883255	511145.b2570	0
6883258	511145.b2573	89.9
6883257	511145.b2572	0
6883260	511145.b2575	0
6883259	511145.b2574	0
6883262	511145.b2577	0
6883261	511145.b2576	93.3
6883264	511145.b2579	839
6883263	511145.b2578	0
6881278	511145.b0435	175
6884021	511145.b3433	1365
6881870	511145.b1079	52.7
6881869	511145.b1078	0
6884020	511145.b3432	133
6881866	511145.b1075	0
6881865	511145.b1074	0
6881868	511145.b1077	0
6881867	511145.b1076	0
6881862	511145.b1071	512
6884019	511145.b3431	0
6881864	511145.b1073	0
6881863	511145.b1072	0
6882704	511145.b1981	0
6882706	511145.b1983	73.7
