#Table S10- Log2 ratio (Gal versus Glu) of all genes on the b-FLEX at 20generations of growth.		
Probe ID	Log2 Ratio (20Gen)	gene
YHL025W::BFLEX	-0.769	SNF6
YGL005C::BFLEX	-0.763	COG7
YLR015W::BFLEX	-0.762	BRE2
YIL046W::BFLEX	-0.761	MET30
YOL136C::BFLEX	-0.761	PFK27
YDR256C::BFLEX	-0.76	CTA1
YDL156W::BFLEX	-0.752	YDL156W
YFL033C::BFLEX	-0.75	RIM15
YKL182W::BFLEX	-0.749	FAS1
YIL068C::BFLEX	-0.748	SEC6
YOR338W::BFLEX	-0.748	YOR338W
YPL036W::BFLEX	-0.745	PMA2
YIL011W::BFLEX	-0.745	TIR3
YKR035W-A::BFLEX	-0.744	DID2
YKL116C::BFLEX	-0.742	PRR1
YHR056C::BFLEX	-0.742	RSC30
YMR159C::BFLEX	-0.741	ATG16
YBL024W::BFLEX	-0.741	NCL1
YCL017C::BFLEX	-0.741	NFS1
YPL107W::BFLEX	-0.74	YPL107W
YDL223C::BFLEX	-0.738	HBT1
YCR100C::BFLEX	-0.737	YCR100C
YOR019W::BFLEX	-0.737	YOR019W
YCR024C::BFLEX	-0.735	SLM5
YBR143C::BFLEX	-0.733	SUP45
YHR158C::BFLEX	-0.732	KEL1
YPL188W::BFLEX	-0.732	POS5
YNL154C::BFLEX	-0.73	YCK2
YEL025C::BFLEX	-0.729	YEL025C
YEL020C::BFLEX	-0.727	YEL020C
YOR115C::BFLEX	-0.726	TRS33
YNL206C::BFLEX	-0.725	RTT106
YAR020C::BFLEX	-0.723	PAU7
YFR021W::BFLEX	-0.721	ATG18
YIL007C::BFLEX	-0.721	NAS2
YCR006C::BFLEX	-0.721	YCR006C
YNL039W::BFLEX	-0.72	BDP1
YPR141C::BFLEX	-0.72	KAR3
YCL044C::BFLEX	-0.72	MGR1
YJL089W::BFLEX	-0.718	SIP4
YFL012W::BFLEX	-0.716	YFL012W
YOR166C::BFLEX	-0.716	YOR166C
YKL183W::BFLEX	-0.713	LOT5
YHR091C::BFLEX	-0.713	MSR1
YGR044C::BFLEX	-0.713	RME1
YDR119W::BFLEX	-0.713	YDR119W
YPL071C::BFLEX	-0.71	YPL071C
YBR043C::BFLEX	-0.708	QDR3
YGR275W::BFLEX	-0.708	RTT102
YFL042C::BFLEX	-0.708	YFL042C
YDR111C::BFLEX	-0.705	ALT2
YOR354C::BFLEX	-0.703	MSC6
YPL057C::BFLEX	-0.702	SUR1
YKL012W::BFLEX	-0.701	PRP40
YPR147C::BFLEX	-0.701	YPR147C
YBR192W::BFLEX	-0.698	RIM2
YNL304W::BFLEX	-0.697	YPT11
