#id: 358
#name: S.cerevisiae - Whole organism, Immunodetection of tagged proteins, normalized data (Ghaemmaghami,Nature,2003)
#score: 4.71
#weight: 80%
#description: abundance based on normalized data, immunodetection of tagged proteins, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/14562106" target="_blank">Ghaemmaghami,Nature,2003</a><br/><b>Interaction consistency score</b>: 4.71&nbsp<b>Coverage</b>: 58
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 58
#publication_year: 2003
#filename: Ghaemmaghami_et_al_yeast_data.txt
#
internal_id	string_external_id	abundance
631907	4932.YIL093C	42.7
631271	4932.YGR106C	283
633303	4932.YLR397C	17.7
630326	4932.YDR463W	29.1
631920	4932.YIL104C	157
631971	4932.YIL151C	11.2
631805	4932.YIL002C	2.2
630976	4932.YGL086W	14.6
631329	4932.YGR159C	1719
628848	4932.YAL044C	77.9
633304	4932.YLR398C	128
635321	4932.YPR081C	50.8
634021	4932.YNL118C	189
634438	4932.YOL096C	5.75
631122	4932.YGL228W	192
630132	4932.YDR284C	67.4
632401	4932.YJR117W	436
632983	4932.YLR113W	151
631278	4932.YGR111W	17.0
631046	4932.YGL155W	87.4
629408	4932.YCL032W	37.0
633260	4932.YLR357W	51.6
634054	4932.YNL147W	68.2
635414	4932.YPR163C	532
629290	4932.YBR222C	195
633002	4932.YLR131C	12.0
630545	4932.YER034W	24.4
630662	4932.YER127W	31.8
633991	4932.YNL091W	4.81
634402	4932.YOL063C	2.76
635071	4932.YPL128C	142
629149	4932.YBR096W	43.2
632375	4932.YJR093C	29.1
630447	4932.YEL027W	188
629577	4932.YDL015C	524
633870	4932.YMR305C	233
629957	4932.YDR123C	17.4
629087	4932.YBR041W	375
630292	4932.YDR430C	136
631370	4932.YGR193C	9.19
630350	4932.YDR487C	121
635439	4932.YPR185W	3.3
630508	4932.YER002W	63.6
635225	4932.YPL273W	1338
629247	4932.YBR185C	60.4
633313	4932.YLR406C	1276
629497	4932.YCR044C	67.7
632776	4932.YKR086W	27.8
631204	4932.YGR040W	122
630726	4932.YER178W	2224
632926	4932.YLR057W	1.59
629451	4932.YCR004C	324
635170	4932.YPL222W	54.0
629196	4932.YBR137W	26.6
630836	4932.YFR014C	33.8
631683	4932.YHR121W	185
631581	4932.YHR034C	57.9
628937	4932.YBL019W	9.19
633789	4932.YMR231W	26.6
634409	4932.YOL070C	35.9
634483	4932.YOL138C	13.5
632276	4932.YJL222W	6.2
631320	4932.YGR150C	19.5
630401	4932.YDR533C	7.95
633365	4932.YLR452C	133
631614	4932.YHR061C	24.4
634310	4932.YNR054C	285
630687	4932.YER147C	20.1
631821	4932.YIL015W	14.9
631064	4932.YGL173C	259
634376	4932.YOL038W	372
634183	4932.YNL275W	4.32
628888	4932.YAR015W	94.9
629438	4932.YCL061C	16.0
633511	4932.YML114C	104
629845	4932.YDR020C	94.9
631775	4932.YHR201C	70.4
635160	4932.YPL213W	80.6
633982	4932.YNL082W	11.6
634210	4932.YNL299W	49.8
630289	4932.YDR427W	276
634811	4932.YOR279C	19.1
631166	4932.YGR008C	118
631063	4932.YGL172W	106
632674	4932.YKL211C	298
630949	4932.YGL060W	85.9
634222	4932.YNL311C	9.6
632799	4932.YLL002W	25.3
632074	4932.YJL030W	24.7
633335	4932.YLR424W	12.3
633316	4932.YLR408C	10.4
633635	4932.YMR093W	7.95
632755	4932.YKR066C	149
629909	4932.YDR079W	10.4
631427	4932.YGR248W	95.9
633462	4932.YML070W	524
631368	4932.YGR191W	15.3
634675	4932.YOR150W	149
629884	4932.YDR055W	259
628983	4932.YBL061C	57.4
631096	4932.YGL203C	190
633686	4932.YMR140W	12.3
632964	4932.YLR095C	167
629080	4932.YBR034C	834
633651	4932.YMR108W	708
630581	4932.YER062C	111
630087	4932.YDR244W	46.0
635026	4932.YPL085W	7.95
631684	4932.YHR122W	39.9
629654	4932.YDL088C	60.9
629706	4932.YDL137W	555
632346	4932.YJR063W	188
631452	4932.YGR271W	10.8
633400	4932.YML013W	280
629726	4932.YDL157C	16.7
630076	4932.YDR233C	824
632237	4932.YJL184W	48.4
630536	4932.YER025W	461
630395	4932.YDR527W	15.3
634774	4932.YOR242C	66.7
629511	4932.YCR059C	67.2
633781	4932.YMR224C	9.6
629770	4932.YDL197C	42.4
630602	4932.YER078C	113
629947	4932.YDR115W	4.32
633716	4932.YMR166C	45.7
631236	4932.YGR071C	23.4
630711	4932.YER165W	4393
630972	4932.YGL082W	169
633649	4932.YMR106C	7.95
629437	4932.YCL059C	96.3
633401	4932.YML014W	52.4
